,תאריך הדיווח,31/03/2016,,,,,,
,החברה המדווחת,קגמ פנסיה,,,,,,
,שם מסלול/קרן/קופה,"קג""מ פנסיה",,,,,,
,מספר מסלול/קרן/קופה,279,,,,,,
,,,,,,,,
,,,,,,,,
,1. ט. יתרות התחייבות להשקעה:,,,,,,,
,שם המנפיק/שם נייר ערך,סכום ההתחייבות,תאריך סיום ההתחייבות,,,,,
,,אלפי ₪,תאריך,,,,,
,,(1),(2),,,,,
,"סה""כ יתרות התחייבות להשקעה","684,261.73",,,,,,
,בישראל,,,,,,,
,Vertex III,0.00 ,May-18,,,,,
,Medica 3, 	69.19 ,Sep-16,,,,,
,Plenus 2," 	3,293.44 ",Dec-15,,,,,
,Vintage II," 	1,224.82 ",Dec-18,,,,,
,Vintage III,0.00 ,Feb-15,,,,,
,SCP VitaLife II,0.00 ,Apr-16,,,,,
,Plenus III, 	788.20 ,Jan-16,,,,,
,Vintage Venture IV, 	944.37 ,Apr-22,,,,,
,Gemini Israel V, 	181.93 ,Dec-18,,,,,
,Carmel Ventures IV, 	965.04 ,Jul-23,,,,,
,Israel Growth Partners I," 	2,508.44 ",Jan-22,,,,,
,Vintage VII Amitim," 	7,249.55 ",Sep-24,,,,,
,Fimi Opportunity IV," 	1,960.97 ",Jan-16,,,,,
,Fortissimo II, 	225.96 ,Jul-17,,,,,
,Fortissimo I," 	1,638.21 ",Apr-14,,,,,
,Markstone Isr  (1875),0.00 ,Sep-14,,,,,
,FIMI Opportunity II," 	1,279.83 ",Dec-14,,,,,
,Klirmark I," 	2,522.34 ",Jun-16,,,,,
,Sky II," 	2,550.03 ",Jul-20,,,,,
,Israel Infrastructure II," 	3,219.93 ",Aug-21,,,,,
,Fortissimo III," 	2,711.52 ",Dec-21,,,,,
,Vintage Investment Partners V, 	152.71 ,Aug-18,,,,,
,Fimi V," 	7,960.73 ",Jul-22,,,,,
,Noy Infrastructure," 	2,074.99 ",Sep-22,,,,,
,Tene Growth Capital III," 	4,096.22 ",Dec-23,,,,,
,Tene III - Gadot Co-Investment, 	117.22 ,Dec-23,,,,,
,AMI I - APAX  ISRAEL," 	5,657.94 ",Nov-24,,,,,
,Klirmark II," 	1,861.98 ",Dec-22,,,,,
,Noy Infrastructure II," 	5,562.67 ",Jan-25,,,,,
,FIMI Opportunity VI," 	18,830.00 ",Dec-25,,,,,
,Bereshit – Manof Fund," 	11,695.84 ",Apr-16,,,,,
,"גורם ל""ה"," 	6,098.37 ",5/31/16,,,,,
,"גורם נ""ג "," 	19,336.21 ",10/17/18,,,,,
,"סה""כ בישראל","116,778.64",,,,,,
,"בחו""ל",,,,,,,
,Crystal, 	51.63 ,גמר השקעה,,,,,
,HV - HIPEP 5," 	1,007.12 ",Jan-19,,,,,
,HV Venture 8, 	329.53 ,Jan-20,,,,,
,HV Mezzanine 8, 	724.96 ,Jan-20,,,,,
,HV Buyout 8," 	5,441.87 ",Jan-20,,,,,
,Apax Europe VII-B, 	64.28 ,Jul-17,,,,,
,Pantheon Europe VI," 	7,542.66 ",Jan-22,,,,,
,Hamilton Lane Secondary II," 	2,265.72 ",Feb-19,,,,,
,Odyssey Investment IV," 	5,806.99 ",Feb-19,,,,,
,Lindsay Goldberg III," 	1,248.21 ",Apr-19,,,,,
,Levine Leicthman IV," 	4,476.66 ",May-19,,,,,
,OHA Strategic Credit," 	8,891.59 ",Aug-17,,,,,
,KPS SS III," 	7,183.16 ",Aug-17,,,,,
,HV Venture VI Asia Pac.," 	6,938.86 ",Oct-23,,,,,
,Partner Group I," 	22,285.20 ",Dec-22,,,,,
,American Securities II," 	4,021.48 ",Jan-18,,,,,
,Enhanced Equity Fund II," 	3,988.03 ",May-18,,,,,
,Energy Capital Partners II ," 	12,768.62 ",Jun-20,,,,,
,H.I.G. Opportunity Fund II," 	1,938.51 ",May-17,,,,,
,"J.H. Whitney VII, L.P."," 	4,766.35 ",Jun-18,,,,,
,Kohlberg Investors VII L.P," 	13,514.05 ",Sep-21,,,,,
,American Securities VI," 	8,409.34 ",Feb-21,,,,,
,Blackstone VI," 	6,801.51 ",Jul-21,,,,,
,Blackstone Energy," 	3,839.74 ",Oct-22,,,,,
,TPG Opportunty II ," 	8,361.67 ",Nov-18,,,,,
,Platinum Equity III," 	11,081.52 ",Dec-21,,,,,
,BC European Partners IX," 	5,110.17 ",Feb-22,,,,,
,Kohlberg IV Secondary, 	125.61 ,Dec-14,,,,,
,Kohlberg V Secondary, 	256.19 ,Dec-14,,,,,
,Kohlberg VI Secondary, 	650.79 ,Jun-17,,,,,
,Baring Vostok V," 	6,035.02 ",May-22,,,,,
,Coller International VI," 	13,265.08 ",May-22,,,,,
,Gridiron Capital II," 	1,057.21 ",Jun-22,,,,,
,Ethos PE VI," 	5,718.86 ",Sep-22,,,,,
,SSG Capital II, 	356.19 ,Oct-20,,,,,
,Partner Group II," 	77,740.78 ",Nov-20,,,,,
,Ridgemont Equity I," 	1,920.72 ",Dec-24,,,,,
,High Road Capital II," 	19,004.40 ",Mar-23,,,,,
,Secondary Investment SPV-4, 	157.86 ,Feb-17,,,,,
,Levine Leichtman V," 	1,074.81 ",Jun-23,,,,,
,NG Capital II," 	5,296.51 ",Jan-23,,,,,
,HL International Feeder H-Aion," 	7,878.26 ",Jun-23,,,,,
,HL International Feeder H1-A," 	2,074.25 ",Jun-23,,,,,
,HL International Feeder H1-B," 	21,145.06 ",Jun-23,,,,,
,HL International Feeder H2-Secondary," 	1,557.87 ",Jun-23,,,,,
,CDH Fund V," 	5,918.97 ",Feb-23,,,,,
,Apollo VIII," 	6,649.03 ",Nov-23,,,,,
