,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,
,החברה המדווחת,אגד פנסיה+פרמיה,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,אגד פנסיה + פרמיה,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,212,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1.ה. פקדונות מעל 3 חודשים:,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",מספר מנפיק,דירוג,שם מדרג,"מח""מ",סוג מטבע,תנאי ושיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,
,"סה""כ  פקדונות מעל 3 חודשים",,,,,4.30,,,1.24,"11,163,186.47",,"16,627.91",100.00,0.22,,,,,
,בישראל,,,,,,,,,,,,,,,,,,
,צמוד מדד,,,,,,,,,,,,,,,,,,
,טפחות פקדון 6.35%- בנק מזרחי טפחות,6682652,20,AAA,מעלות,4.77,שקל חדש,6.35,0.84,"6,163,186.47",172.02,"10,601.91",63.76,0.14,,,,,
,"סה""כ צמוד מדד",,,,,4.77,,,0.84,"6,163,186.47",,"10,601.91",63.76,0.14,,,,,
,לא צמוד,,,,,,,,,,,,,,,,,,
,מזרחי פקדון 25.01.15 7.2%- בנק מזרחי טפחות,74004956,20,AAA,מעלות,3.47,שקל חדש,7.20,1.93,"5,000,000.00",120.52,"6,026.00",36.24,0.08,,,,,
,"סה""כ לא צמוד",,,,,3.47,,,1.93,"5,000,000.00",,"6,026.00",36.24,0.08,,,,,
,"נקוב במט""ח",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ נקוב במט""ח",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,"צמודי מט""ח",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ צמודי מט""ח",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,אחר,,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אחר",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,"סה""כ בישראל",,,,,4.30,,,1.24,"11,163,186.47",,"16,627.91",100.00,0.22,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,
,0,0,,0,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,0.00,,,0.00,0.00,,0.00,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,
