,תאריך הדיווח,31/12/2015,,,,,,,,,,,,,,,
,החברה המדווחת,חקלאים פנסיה,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,חקלאים פנסיה,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,307,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ספק המידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,
,"סה""כ מניות",,,,,,"95,207,654.70",,9.52,,100.00,0.00,,,,,
,בישראל,,,,,,,,,,,,,,,,
,בניני האומה מר- בניני האומה,44024,,8350,אחר,שקל חדש,1.00,0.01,0.00,0.00,0.00,0.00,,,,,
,ח.ב.ע. מר א- ח.ב.ע,729814,,8353,אחר,שקל חדש,"43,086.00",0.01,0.00,0.00,0.05,0.00,,,,,
,ח.ב.ע. מר ב- ח.ב.ע,729822,,8353,אחר,שקל חדש,"107,338.00",0.01,0.01,0.00,0.11,0.00,,,,,
,ח.ב.ע. מר ג- ח.ב.ע,729830,,8353,אחר,שקל חדש,"309,954.00",0.01,0.03,0.00,0.33,0.00,,,,,
,ח.ב.ע. מר ד- ח.ב.ע,729848,,8353,אחר,שקל חדש,"23,017.00",0.01,0.00,0.00,0.02,0.00,,,,,
,ניר למושבה מר- ניר למושבה,797027,,8358,אחר,שקל חדש,9.50,0.01,0.00,0.00,0.00,0.00,,,,,
,ק.השק -בכ'ב- קרן השקעות,729970,,8043,אחר,שקל חדש,"800,000.00",0.01,0.08,0.00,0.84,0.00,,,,,
,שמן מניות בכורה- שמן,634022,,8369,אחר,שקל חדש,"3,893.20",0.01,0.00,0.00,0.00,0.00,,,,,
,ק.השק מר ג'- ק השקעות מר,729731,,8365,השקעות ואחזקות,שקל חדש,"27,701.00",0.01,0.00,0.00,0.03,0.00,,,,,
,ק.השקעות מר א- ק השקעות מר,23275,,8365,השקעות ואחזקות,שקל חדש,"42,924.00",0.01,0.00,0.00,0.05,0.00,,,,,
,קופת פועלים פלחים- קופת פועלים פלחים,23267,,8366,השקעות ואחזקות,שקל חדש,1.00,0.01,0.00,0.00,0.00,0.00,,,,,
,ק.השק מר ד'- קרן השקעות,729749,,8043,השקעות ואחזקות,שקל חדש,"93,849,730.00",0.01,9.38,0.00,98.57,0.00,,,,,
,"סה""כ בישראל",,,,,,"95,207,654.70",,9.52,,100.00,0.00,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,
,"חברות ישראליות בחו""ל",,,,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חברות ישראליות בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,,,,
,"חברות זרות בחו""ל",,,,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ חברות זרות בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
