,תאריך הדיווח,31/12/2015,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,חקלאים פנסיה,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,חקלאים פנסיה,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,307,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,
,1. תעודות התחייבות ממשלתיות,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,,,
,"סה""כ תעודות התחייבות ממשלתיות",,,,,,11.85,,,0.86,"154,541,455.00",,"179,828.26",,100.00,5.62,,,,,
,בישראל,,,,,,,,,,,,,,,,,,,,
,צמודות למדד,,,,,,,,,,,,,,,,,,,,
,גליל,,,,,,,,,,,,,,,,,,,,
,ממשלתי  צמוד 0841- ממשלת ישראל,1120583,TASE,RF,מעלות,07/01/14,19.52,שקל חדש,2.75,1.45,"68,696,811.00",136.45,"93,736.80",0.41,52.13,2.93,,,,,
,ממשלתי צמודה 1016- ממשלת ישראל,1130483,TASE,RF,מעלות,24/11/15,0.83,שקל חדש,0.10,0.50,"1,237,180.00",98.60,"1,219.86",0.01,0.68,0.04,,,,,
,"סה""כ גליל",,,,,,19.28,,,1.44,"69,933,991.00",,"94,956.66",,52.80,2.97,,,,,
,"סה""כ צמודות למדד",,,,,,19.28,,,1.44,"69,933,991.00",,"94,956.66",,52.80,2.97,,,,,
,לא צמודות,,,,,,,,,,,,,,,,,,,,
,מלווה קצר מועד,,,,,,,,,,,,,,,,,,,,
,מקמ 0626- ממשלת ישראל,8160624,TASE,RF,מעלות,01/07/15,0.44,שקל חדש,0.00,0.16,"626,773.00",99.93,626.33,0.01,0.35,0.02,,,,,
,מקמ 0716- ממשלת ישראל,8160715,TASE,RF,מעלות,08/07/15,0.51,שקל חדש,0.00,0.14,"7,432,397.00",99.93,"7,427.19",0.08,4.13,0.23,,,,,
