,מקמ 1016- ממשלת ישראל,8161010,TASE,RF,מעלות,25/11/15,0.76,שקל חדש,0.00,0.16,"645,538.00",99.88,644.76,0.01,0.36,0.02,,,,,
,מקמ 1116- ממשלת ישראל,8161119,TASE,RF,מעלות,04/11/15,0.84,שקל חדש,0.00,0.13,"4,736,905.00",99.89,"4,731.69",0.05,2.63,0.15,,,,,
,מקמ 1216- ממשלת ישראל,8161218,TASE,RF,מעלות,23/12/15,0.93,שקל חדש,0.00,0.13,"488,645.00",99.88,488.06,0.01,0.27,0.02,,,,,
,מקמ 516- ממשלת ישראל,8160517,TASE,RF,מעלות,06/05/15,0.34,שקל חדש,0.00,0.15,"885,188.00",99.95,884.75,0.01,0.49,0.03,,,,,
,מקמ 816- ממשלת ישראל,8160814,TASE,RF,מעלות,05/08/15,0.59,שקל חדש,0.00,0.14,"5,995,411.00",99.92,"5,990.61",0.07,3.33,0.19,,,,,
,"סה""כ מלווה קצר מועד",,,,,,0.62,,,0.14,"20,810,857.00",,"20,793.41",,11.56,0.65,,,,,
,שחר,,,,,,,,,,,,,,,,,,,,
,ממשלתי שקלי 0516- ממשלת ישראל,1127166,TASE,RF,מעלות,01/07/15,0.41,שקל חדש,2.50,0.13,"742,913.00",102.45,761.11,0.01,0.42,0.02,,,,,
,ממשלתי שקלי 0816- ממשלת ישראל,1122019,TASE,RF,מעלות,01/07/15,0.67,שקל חדש,4.25,0.13,"16,016,969.00",104.17,"16,684.88",0.10,9.28,0.52,,,,,
,"סה""כ שחר",,,,,,0.66,,,0.13,"16,759,882.00",,"17,445.99",,9.70,0.54,,,,,
,גילון,,,,,,,,,,,,,,,,,,,,
,ממשלתי משתנה 1121- ממשלת ישראל,1127646,TASE,RF,מעלות,12/03/13,5.90,שקל חדש,0.09,0.28,"47,036,725.00",99.14,"46,632.21",0.47,25.93,1.46,,,,,
,"סה""כ גילון",,,,,,5.90,,,0.28,"47,036,725.00",,"46,632.21",,25.93,1.46,,,,,
,"סה""כ לא צמודות",,,,,,3.53,,,0.21,"84,607,464.00",,"84,871.61",,47.20,2.65,,,,,
,צמודות לדולר,,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ צמודות לדולר",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בישראל",,,,,,11.85,,,0.86,"154,541,455.00",,"179,828.26",,100.00,5.62,,,,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,,
,"אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח של ממשלת ישראל שהונפקו בחו""ל",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"אג""ח שהנפיקו ממשלות זרות בחו""ל",,,,,,,,,,,,,,,,,,,,
,0,0,,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ אג""ח שהנפיקו ממשלות זרות בחו""ל",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
