,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,
,החברה המדווחת,הדסה פנסיה,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,הדסה פנסיה,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,274,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,
,5. קרנות השקעה,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",סוג מטבע,תאריך רכישה,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,,,תאריך,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,
,,(1),(3),(4),(5),(6),(7),(8),(9),(10),,,,,
,"סה""כ קרנות השקעה ",,,,9.28,,3.49,,100.00,0.00,,,,,
,בישראל,,,,,,,,,,,,,,
,קרנות הון סיכון,,,,,,,,,,,,,,
,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרנות הון סיכון",,,,0.00,,0.00,,0.00,0.00,,,,,
,קרנות גידור,,,,,,,,,,,,,,
,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרנות גידור",,,,0.00,,0.00,,0.00,0.00,,,,,
,"קרנות נדל""ן",,,,,,,,,,,,,,
,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרנות נדל""ן",,,,0.00,,0.00,,0.00,0.00,,,,,
,קרנות השקעה אחרות,,,,,,,,,,,,,,
,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרנות השקעה אחרות",,,,0.00,,0.00,,0.00,0.00,,,,,
,"סה""כ בישראל",,,,0.00,,0.00,,0.00,0.00,,,,,
,"בחו""ל",,,,,,,,,,,,,,
,"קרנות הון סיכון בחו""ל",,,,,,,,,,,,,,
,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרנות הון סיכון בחו""ל",,,,0.00,,0.00,,0.00,0.00,,,,,
,"קרנות גידור בחו""ל",,,,,,,,,,,,,,
,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרנות גידור בחו""ל",,,,0.00,,0.00,,0.00,0.00,,,,,
,"קרנות נדל""ן בחו""ל",,,,,,,,,,,,,,
,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
,"סה""כ קרנות נדל""ן בחו""ל",,,,0.00,,0.00,,0.00,0.00,,,,,
,"קרנות השקעה אחרות בחו""ל",,,,,,,,,,,,,,
,GEMS Progressive Multy STR- GEMS Investment,KYG378821345,דולר אמריקאי,26/11/13,9.28,"10,000.00",3.49,0.00,100.00,0.00,,,,,
,"סה""כ קרנות השקעה אחרות בחו""ל",,,,9.28,,3.49,,100.00,0.00,,,,,
,"סה""כ בחו""ל",,,,9.28,,3.49,,100.00,0.00,,,,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
