,תאריך הדיווח,31/03/2016,,,,,,,,,,,
,החברה המדווחת,הדסה פנסיה,,,,,,,,,,,
,שם מסלול/קרן/קופה,הדסה פנסיה,,,,,,,,,,,
,מספר מסלול/קרן/קופה,274,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1. ו. זכויות במקרקעין:,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,תאריך שערוך אחרון,אופי הנכס,שעור תשואה במהלך התקופה,סוג מטבע,שווי משוערך,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,תאריך,,אחוזים,,₪ אלפי ,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),,,,,
,"סה""כ מקרקעין",,,,,0.00,0.00,0.00,,,,,
,בישראל,,,,,,,,,,,,
,מניב,,,,,,,,,,,,
,0,,0,0.00,0,0.00,0.00,0.00,,,,,
,"סה""כ מניב",,,0.00,,0.00,0.00,0.00,,,,,
,לא מניב,,,,,,,,,,,,
,0,,0,0.00,0,0.00,0.00,0.00,,,,,
,"סה""כ לא מניב",,,0.00,,0.00,0.00,0.00,,,,,
,"סה""כ בישראל",,,0.00,,0.00,0.00,0.00,,,,,
,"בחו""ל",,,,,,,,,,,,
,מניב,,,,,,,,,,,,
,0,,0,0.00,0,0.00,0.00,0.00,,,,,
,"סה""כ מניב",,,0.00,,0.00,0.00,0.00,,,,,
,לא מניב,,,,,,,,,,,,
,0,,0,0.00,0,0.00,0.00,0.00,,,,,
,"סה""כ לא מניב",,,0.00,,0.00,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,0.00,,0.00,0.00,0.00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
