,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,נתיב פנסיה,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,נתיב פנסיה,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,332,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,
,"3. אג""ח קונצרני",,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,
,"סה""כ אגרות חוב קונצרניות",,,,,,,,,0.09,,,1.11,"120,119,410.00",,"134,826.23",,100.00,0.73,,
,בישראל,,,,,,,,,,,,,,,,,,,,
,צמודות מדד,,,,,,,,,,,,,,,,,,,,
,מזרחי טפחות הנפ. 33- בנק מזרחי טפחות,2310092,TASE,,668,בנקים,AAA,מעלות,21/01/16,0.03,שקל חדש,2.60,1.71,"93,907,632.00",105.73,"99,288.54",4.05,73.64,0.54,,
,טפחות הנפ התח27- בנק מזרחי טפחות,2310035,TASE,,668,בנקים,AA+,מעלות,11/12/15,0.67,שקל חדש,5.50,-0.45,"1,449,224.00",134.88,"1,954.71",0.72,1.45,0.01,,
,לאומי כ. התחייבות ג- לאומי,6040182,TASE,,604,בנקים,AA+,מעלות,16/12/15,0.25,שקל חדש,4.90,-0.57,"24,762,554.00",135.62,"33,582.98",4.82,24.91,0.18,,
,"סה""כ צמודות מדד",,,,,,,,,0.09,,,1.11,"120,119,410.00",,"134,826.23",,100.00,0.73,,
,לא צמודות,,,,,,,,,,,,,,,,,,,,
,0,0,,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ לא צמודות",,,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"צמודות למט""ח",,,,,,,,,,,,,,,,,,,,
,0,0,,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ צמודות למט""ח",,,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,אחר,,,,,,,,,,,,,,,,,,,,
,0,0,,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"סה""כ בישראל",,,,,,,,,0.09,,,1.11,"120,119,410.00",,"134,826.23",,100.00,0.73,,
,"בחו""ל",,,,,,,,,,,,,,,,,,,,
,"חברות ישראליות בחו""ל",,,,,,,,,,,,,,,,,,,,
,0,0,,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ חברות ישראליות בחו""ל",,,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"חברות זרות בחו""ל",,,,,,,,,,,,,,,,,,,,
,0,0,,,,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ חברות זרות בחו""ל",,,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,"סה""כ בחו""ל",,,,,,,,,0.00,,,0.00,0.00,,0.00,,0.00,0.00,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
