,תאריך הדיווח,31/03/2016,,,,,,,,,,,,
,החברה המדווחת,נתיב פנסיה,,,,,,,,,,,,
,שם מסלול/קרן/קופה,נתיב פנסיה,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,332,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,
,5. תעודות סל,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,"סה""כ תעודות סל",,,,,,0.00,,0.00,,0.00,0.00,,
,בישראל,,,,,,,,,,,,,
,שמחקות מדדי מניות בישראל,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדי מניות בישראל",,,,,,0.00,,0.00,,0.00,0.00,,
,שמחקות מדדים אחרים בישראל,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדים אחרים בישראל",,,,,,0.00,,0.00,,0.00,0.00,,
,"שמחקות מדדים אחרים בחו""ל",,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדים אחרים בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,
,אחר,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,0.00,,0.00,,0.00,0.00,,
,short,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ short",,,,,,0.00,,0.00,,0.00,0.00,,
,"שמחקות מדדי מניות בחו""ל",,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדי מניות בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,
,"סה""כ בישראל",,,,,,0.00,,0.00,,0.00,0.00,,
,"בחו""ל",,,,,,,,,,,,,
,שמחקות מדדי מניות,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדי מניות",,,,,,0.00,,0.00,,0.00,0.00,,
,שמחקות מדדים אחרים,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ שמחקות מדדים אחרים",,,,,,0.00,,0.00,,0.00,0.00,,
,אחר,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,0.00,,0.00,,0.00,0.00,,
,short,,,,,,,,,,,,,
,0,0,,,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ short",,,,,,0.00,,0.00,,0.00,0.00,,
,"סה""כ בחו""ל",,,,,,0.00,,0.00,,0.00,0.00,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
