,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,
,החברה המדווחת,נתיב פנסיה,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,נתיב פנסיה,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,332,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,
,6. קרנות נאמנות,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,
,"סה""כ תעודות השתתפות בקרנות נאמנות",,,,,,,,0.00,,0.00,,0.00,0.00,,
,תעודות השתתפות בקרנות נאמנות בישראל,,,,,,,,,,,,,,,
,0,0,,,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ תעודות השתתפות בקרנות נאמנות בישראל",,,,,,,,0.00,,0.00,,0.00,0.00,,
,"תעודות השתתפות בקרנות נאמנות בחו""ל",,,,,,,,,,,,,,,
,0,0,,,0,0,,0,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ תעודות השתתפות בקרנות נאמנות בחו""ל",,,,,,,,0.00,,0.00,,0.00,0.00,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
