,תאריך הדיווח,31/03/2016,,,,,,,,,,
,החברה המדווחת,נתיב פנסיה,,,,,,,,,,
,שם מסלול/קרן/קופה,נתיב פנסיה,,,,,,,,,,
,מספר מסלול/קרן/קופה,332,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1.א. מזומנים ושווי מזומנים,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",מספר מנפיק,דירוג,שם מדרג,סוג מטבע,שיעור ריבית,תשואה לפידיון,שווי שוק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,
,,,,,,,אחוזים,אחוזים,אלפי ₪,אחוזים,אחוזים,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),
,"סה""כ מזומנים ושווי מזומנים",,,,,,,0.00,"195,800.59",100.00,1.06,
,בישראל,,,,,,,,,,,
,"יתרת מזומנים ועו""ש בש""ח",,,,,,,,,,,
,עו'ש- פועלים סהר,1111111111- 33- פועלים סהר,12,0,לא מדורג,שקל חדש,0.00,0.00,-0.00,0.00,0.00,
,"סה""כ יתרת מזומנים ועו""ש בש""ח",,,,,,,0.00,-0.00,0.00,0.00,
,"יתרת מזומנים ועו""ש נקובים במט""ח",,,,,,,,,,,
,דולר ארהב- פועלים סהר,1000280- 33- פועלים סהר,12,0,לא מדורג,דולר אמריקאי,0.00,0.00,0.65,0.00,0.00,
,"סה""כ יתרת מזומנים ועו""ש נקובים במט""ח",,,,,,,0.00,0.65,0.00,0.00,
,"פח""ק/פר""י",,,,,,,,,,,
,פ.ח.ק.- בנק הפועלים,1111111110- 12- בנק הפועלים,12,0,לא מדורג,שקל חדש,0.00,0.00,"5,408.37",2.76,0.03,
,פ.ח.ק.- פועלים סהר,1111111110- 33- פועלים סהר,12,0,לא מדורג,שקל חדש,0.00,0.00,"190,391.57",97.24,1.03,
,"סה""כ פח""ק/פר""י",,,,,,,0.00,"195,799.94",100.00,1.06,
,"פק""מ לתקופה של עד שלושה חודשים",,,,,,,,,,,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ פק""מ לתקופה של עד שלושה חודשים",,,,,,,0.00,0.00,0.00,0.00,
,פקדון צמוד מדד עד שלושה חודשים,,,,,,,,,,,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ פקדון צמוד מדד עד שלושה חודשים",,,,,,,0.00,0.00,0.00,0.00,
,"פקדון צמוד מט""ח עד שלושה חודשים (פצ""מ)",,,,,,,,,,,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ פקדון צמוד מט""ח עד שלושה חודשים (פצ""מ)",,,,,,,0.00,0.00,0.00,0.00,
,"פקדונות במט""ח עד 3 חודשים",,,,,,,,,,,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ פקדונות במט""ח עד 3 חודשים",,,,,,,0.00,0.00,0.00,0.00,
,"סה""כ בישראל",,,,,,,0.00,"195,800.59",100.00,1.06,
,"בחו""ל",,,,,,,,,,,
,"יתרות מזומנים ועו""ש נקובים במט""ח",,,,,,,,,,,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ יתרות מזומנים ועו""ש נקובים במט""ח",,,,,,,0.00,0.00,0.00,0.00,
,"פקדונות במט""ח עד שלושה חודשים",,,,,,,,,,,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ פקדונות במט""ח עד שלושה חודשים",,,,,,,0.00,0.00,0.00,0.00,
,"סה""כ בחו""ל",,,,,,,0.00,0.00,0.00,0.00,
,בעל ענין/צד קשור *,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
