,תאריך הדיווח,31/03/2016,,,,,,,,,
,החברה המדווחת,מקפת פנסיה,,,,,,,,,
,שם מסלול/קרן/קופה,מקפת פנסיה,,,,,,,,,
,מספר מסלול/קרן/קופה,313,,,,,,,,,
,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,
,7. כתבי אופציה,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",זירת מסחר,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה
,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים
,,(1),(2),(3),(3),(4),(5),(6),(7),(8),(9)
,"סה""כ כתבי אופציה",,,,,0.00,,0.00,,0.00,0.00
,כתבי אופציות בישראל,,,,,,,,,,
,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,"סה""כ כתבי אופציות בישראל",,,,,0.00,,0.00,,0.00,0.00
,"כתבי אופציה בחו""ל",,,,,,,,,,
,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,0.00
,"סה""כ כתבי אופציה בחו""ל",,,,,0.00,,0.00,,0.00,0.00
,בעל ענין/צד קשור *,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
