,תאריך הדיווח,31/03/2016,,,,,,,,,,,
,החברה המדווחת,מקפת פנסיה,,,,,,,,,,,
,שם מסלול/קרן/קופה,מקפת פנסיה,,,,,,,,,,,
,מספר מסלול/קרן/קופה,313,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1. ו. זכויות במקרקעין:,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,תאריך שערוך אחרון,אופי הנכס,שעור תשואה במהלך התקופה,סוג מטבע,שווי משוערך,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,
,,תאריך,,אחוזים,,₪ אלפי ,אחוזים,אחוזים,,,,,
,,(1),(2),(3),(4),(5),(6),(7),,,,,
,"סה""כ מקרקעין",,,6.54,,"40,387.50",100.00,0.07,,,,,
,בישראל,,,,,,,,,,,,
,מניב,,,,,,,,,,,,
,בן זכאי 6 תל אביב- מקרקעין,31/12/15,השכרה,7.67,שקל חדש,"12,300.00",30.45,0.02,,,,,
,קניון סביונים- סביונים,31/12/15,קניון,6.59,שקל חדש,"4,895.00",12.12,0.01,,,,,
,זכויות בניה רננים- רננים,31/12/15,קניון,0.00,שקל חדש,"1,234.81",3.06,0.00,,,,,
,קניון רננים- רננים,31/12/15,קניון,6.27,שקל חדש,"21,957.69",54.37,0.04,,,,,
,"סה""כ מניב",,,6.54,,"40,387.50",100.00,0.07,,,,,
,לא מניב,,,,,,,,,,,,
,0,,0,0.00,0,0.00,0.00,0.00,,,,,
,"סה""כ לא מניב",,,0.00,,0.00,0.00,0.00,,,,,
,"סה""כ בישראל",,,6.54,,"40,387.50",100.00,0.07,,,,,
,"בחו""ל",,,,,,,,,,,,
,מניב,,,,,,,,,,,,
,0,,0,0.00,0,0.00,0.00,0.00,,,,,
,"סה""כ מניב",,,0.00,,0.00,0.00,0.00,,,,,
,לא מניב,,,,,,,,,,,,
,0,,0,0.00,0,0.00,0.00,0.00,,,,,
,"סה""כ לא מניב",,,0.00,,0.00,0.00,0.00,,,,,
,"סה""כ בחו""ל",,,0.00,,0.00,0.00,0.00,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
