,תאריך הדיווח,31/03/2016,,,,,,,,,,
,החברה המדווחת,בניין פנסיה,,,,,,,,,,
,שם מסלול/קרן/קופה,בנין פנסיה,,,,,,,,,,
,מספר מסלול/קרן/קופה,360,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1.א. מזומנים ושווי מזומנים,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",מספר מנפיק,דירוג,שם מדרג,סוג מטבע,שיעור ריבית,תשואה לפידיון,שווי שוק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,
,,,,,,,אחוזים,אחוזים,אלפי ₪,אחוזים,אחוזים,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),
,"סה""כ מזומנים ושווי מזומנים",,,,,,,0.00,"90,991.02",100.00,1.88,
,בישראל,,,,,,,,,,,
,"יתרת מזומנים ועו""ש בש""ח",,,,,,,,,,,
,עו'ש- בנק הבינלאומי,1111111111- 31- בנק הבינלאומי,31,0,לא מדורג,שקל חדש,0.00,0.00,0.00,0.00,0.00,
,עו'ש- יו-בנק,1111111111- 26- יו-בנק,26,0,לא מדורג,שקל חדש,0.00,0.00,0.00,0.00,0.00,
,"סה""כ יתרת מזומנים ועו""ש בש""ח",,,,,,,0.00,0.00,0.00,0.00,
,"יתרת מזומנים ועו""ש נקובים במט""ח",,,,,,,,,,,
,דולר ארהב- פועלים סהר,1000280- 33- פועלים סהר,12,0,לא מדורג,דולר אמריקאי,0.00,0.00,"8,353.23",9.18,0.17,
,"סה""כ יתרת מזומנים ועו""ש נקובים במט""ח",,,,,,,0.00,"8,353.23",9.18,0.17,
,"פח""ק/פר""י",,,,,,,,,,,
,פ.ח.ק.- בנק הפועלים,1111111110- 12- בנק הפועלים,12,0,לא מדורג,שקל חדש,0.00,0.00,168.86,0.19,0.00,
,פ.ח.ק.- בנק הפועלים,1111111110- 12- בנק הפועלים,12,0,לא מדורג,שקל חדש,0.00,0.00,"1,873.19",2.06,0.04,
,פ.ח.ק.- פועלים סהר,1111111110- 33- פועלים סהר,12,0,לא מדורג,שקל חדש,0.00,0.00,"80,506.47",88.48,1.66,
,"סה""כ פח""ק/פר""י",,,,,,,0.00,"82,548.53",90.72,1.70,
,"פק""מ לתקופה של עד שלושה חודשים",,,,,,,,,,,
,בטחונות ההסתדרות בניין ארלוזורוב- בנק הפועלים,74005480- 12- בנק הפועלים,12,AAA,מעלות,שקל חדש,0.01,0.00,32.25,0.04,0.00,
,"בטחונות רעות שכ""ד 0.01%- בנק הפועלים",74005520- 12- בנק הפועלים,12,AAA,מעלות,שקל חדש,0.01,0.00,57.02,0.06,0.00,
,"סה""כ פק""מ לתקופה של עד שלושה חודשים",,,,,,,0.00,89.27,0.10,0.00,
,פקדון צמוד מדד עד שלושה חודשים,,,,,,,,,,,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ פקדון צמוד מדד עד שלושה חודשים",,,,,,,0.00,0.00,0.00,0.00,
,"פקדון צמוד מט""ח עד שלושה חודשים (פצ""מ)",,,,,,,,,,,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ פקדון צמוד מט""ח עד שלושה חודשים (פצ""מ)",,,,,,,0.00,0.00,0.00,0.00,
,"פקדונות במט""ח עד 3 חודשים",,,,,,,,,,,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ פקדונות במט""ח עד 3 חודשים",,,,,,,0.00,0.00,0.00,0.00,
,"סה""כ בישראל",,,,,,,0.00,"90,991.02",100.00,1.88,
,"בחו""ל",,,,,,,,,,,
,"יתרות מזומנים ועו""ש נקובים במט""ח",,,,,,,,,,,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ יתרות מזומנים ועו""ש נקובים במט""ח",,,,,,,0.00,0.00,0.00,0.00,
,"פקדונות במט""ח עד שלושה חודשים",,,,,,,,,,,
,0,0,,0,,0,0.00,0.00,0.00,0.00,0.00,
,"סה""כ פקדונות במט""ח עד שלושה חודשים",,,,,,,0.00,0.00,0.00,0.00,
,"סה""כ בחו""ל",,,,,,,0.00,0.00,0.00,0.00,
,בעל ענין/צד קשור *,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
