,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,
,החברה המדווחת,חקלאים פנסיה,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,חקלאים פנסיה,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,307,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"2.ב. אג""ח קונצרני לא סחיר",,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,ריבית אפקטיבית,ערך נקוב,עלות מתואמת,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,
,"סה""כ אג""ח קונצרני לא סחיר",,,,,,,,,,0.00,0.00,,0.00,0.00,,
,בישראל,,,,,,,,,,,,,,,,
,צמוד מדד,,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ צמוד מדד",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,לא צמוד,,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ לא צמוד",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,"צמודות למט""ח",,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ צמודות למט""ח",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,אחר,,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,"סה""כ בישראל",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,"בחו""ל",,,,,,,,,,,,,,,,
,"אג""ח קונצרני של חברות ישראליות",,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אג""ח קונצרני של חברות ישראליות",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,"אג""ח קונצרני של חברות זרות",,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אג""ח קונצרני של חברות זרות",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,"סה""כ בחו""ל",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
