,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1.ג. ניירות ערך לא סחירים,,,,,,,,,,,,,,,,,,,
,"3. אג""ח קונצרני",,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ספק המידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי הוגן,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),,
,"סה""כ אג""ח קונצרני",,,,,,,,5.73,,,1.99,"3,992,477,229.30",,"7,000,970.08",,100.00,3.62,,
,בישראל,,,,,,,,,,,,,,,,,,,
,צמוד מדד,,,,,,,,,,,,,,,,,,,
,בלל ש.הון 31.01.27 6.6%- לאומי,6401772,,604,בנקים,AA+,מעלות,31/12/02,5.24,שקל חדש,6.60,1.37,"3,300,000.00",156.12,"5,151.96",0.00,0.07,0.00,,
,בנק לאומי שטר הון- לאומי,6402028,,604,בנקים,AA+,מעלות,20/12/06,0.01,שקל חדש,6.00,-1.07,"3,000,000.00",138.94,"4,168.20",0.00,0.06,0.00,,
,סופר גז- סופרגז,1106822,,8243,שירותים,AA+,מעלות,19/08/07,4.49,שקל חדש,4.90,0.98,"39,189,536.36",141.89,"55,606.03",6.53,0.79,0.03,,
,פועלים שה נדחה- בנק הפועלים,6620298,,662,בנקים,AA+,מעלות,07/11/04,0.61,שקל חדש,5.15,0.28,"50,000,000.00",127.40,"63,700.00",0.00,0.91,0.03,,
,פועלים שטר הון 5.4%- בנק הפועלים,6620330,,662,בנקים,AA+,מעלות,14/12/04,1.71,שקל חדש,5.40,0.75,"50,000,000.00",237.41,"118,705.00",0.00,1.70,0.06,,
,פועלים שטר הון נדחה- בנק הפועלים,6620306,,662,בנקים,AA+,מעלות,14/11/04,1.58,שקל חדש,5.20,0.75,"50,000,000.00",132.41,"66,205.00",0.00,0.95,0.03,,
,פועלים-ש.הון 12/27 6.6%- בנק הפועלים,6626352,,662,בנקים,AA+,מעלות,30/12/02,5.54,שקל חדש,6.60,1.38,"3,600,000.00",158.99,"5,723.64",0.00,0.08,0.00,,
,בנק פועלים כ.התחיבות 04/16- בנק הפועלים,6620496,,662,בנקים,AA+,מעלות,20/12/06,0.01,שקל חדש,6.00,-1.06,"2,000,000.00",138.94,"2,778.80",0.00,0.04,0.00,,
,הראל בטוח כ.התחייבות 1- הראל חברה לביטוח,1089655,,1175,ביטוח,AA,מעלות,18/02/04,1.96,שקל חדש,5.55,0.54,"3,254,956.96",135.29,"4,403.63",1.63,0.06,0.00,,
,כלל ביטוח כ.התחייבות 09/2018- כלל חברה לביטוח,1119247,,224,ביטוח,AA,מעלות,30/01/03,1.32,שקל חדש,7.00,0.66,"8,250,601.32",132.02,"10,892.44",0.00,0.16,0.01,,
,לאומי למשכנתאות כ.התחייבות- לאומי משכנתאות,6020895,,602,בנקים,AA,מעלות,24/11/99,6.23,שקל חדש,6.05,1.25,"2,320,000.00",174.08,"4,038.66",0.00,0.06,0.00,,
,VID מאוחד- וי.אי.די. התפלת מי אשקלון,1097997,,1148,אחר,AA-,מעלות,06/07/06,4.37,שקל חדש,7.75,0.99,"40,412,456.95",162.21,"65,553.05",0.00,0.94,0.03,,
,אוצר החייל כ.התח 03/26 3.95%- אוצר החייל,6014211,,8015,בנקים,Aa3,מידרוג,23/03/11,5.13,שקל חדש,3.95,1.04,"34,000,000.00",118.98,"40,453.20",0.00,0.58,0.02,,
