,תאריך הדיווח,31/03/2016,,,,,,,,,,,,,,,
,החברה המדווחת,מבטחים פנסיה,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,מבטחים פנסיה,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,316,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"2.א. אג""ח קונצרני סחיר",,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך,"מספר ני""ע",ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,ריבית אפקטיבית,ערך נקוב,עלות מתואמת,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,
,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אלפי ₪,אחוזים,אחוזים,אחוזים,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,
,"סה""כ אג""ח קונצרני סחיר",,,,,,,,,,0.00,0.00,,0.00,0.00,,
,בישראל,,,,,,,,,,,,,,,,
,צמודות מדד,,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ צמודות מדד",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,לא צמודות,,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ לא צמודות",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,"צמודות למט""ח",,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ צמודות למט""ח",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,אחר,,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ אחר",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,"סה""כ בישראל",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,"בחו""ל",,,,,,,,,,,,,,,,
,"חברות ישראליות בחו""ל",,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ חברות ישראליות בחו""ל",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,"חברות זרות בחו""ל",,,,,,,,,,,,,,,,
,0,0,0,0,,,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
,"סה""כ חברות זרות בחו""ל",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,"סה""כ בחו""ל",,,,,,0.00,,,,0.00,0.00,,0.00,0.00,,
,בעל ענין/צד קשור *,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
